GEOID,med_income_E,is_urban,pop_dens,total_ridership
32031,31424,TRUE,27.59814823023406,72134
33015,40896,TRUE,169.58047340135172,88396
33017,30703,TRUE,134.18957310925967,121624
33019,31475,FALSE,30.988720689873638,2542
34013,31139,TRUE,2427.6035101221632,870763
34021,34532,TRUE,634.0461340028982,469907
34023,39908,TRUE,1033.2651863693252,373793
35001,27976,TRUE,225.40665692733663,65539
35007,20143,FALSE,1.2691443460123992,7392
35023,18640,FALSE,0.49104471877174743,733
35029,15794,TRUE,3.159456258499811,1388
35031,16606,FALSE,5.161126934418957,14775
35047,19925,FALSE,2.295250274041576,4630
35049,32018,TRUE,30.11247404882885,9731
36019,27856,FALSE,30.05700687429015,14761
36021,31929,FALSE,37.05807415457327,216988
36027,34223,TRUE,142.62048583559263,298485
36029,30716,TRUE,340.6200285050736,145990
36031,28819,FALSE,8.123684134408647,7108
36055,30369,TRUE,437.2388587203351,130306
36057,25779,TRUE,47.34854209072052,9676
36061,48748,TRUE,27610.17300112118,10508484
36063,29713,TRUE,156.4812162392103,31398
36065,28399,TRUE,73.49333681308752,66476
36067,31513,TRUE,230.2764872941242,131487
36083,34537,TRUE,94.34962578585812,800368
36091,40311,TRUE,108.38577923910866,38170
36093,30656,TRUE,292.40110593063423,50950
36115,27822,FALSE,28.72039281778897,11006
36119,40906,TRUE,868.9060282473569,164571
37001,26220,TRUE,146.24303286979284,21886
37025,31473,TRUE,215.0096348913906,18858
37051,26224,TRUE,196.57201282833125,50846
37063,32412,TRUE,413.7549286476516,75210
37071,25725,TRUE,234.8807532425183,1251
37081,27752,TRUE,313.07887087732274,149187
37101,27723,FALSE,93.27942344888703,12930
37119,33663,TRUE,777.0904644053836,172226
37125,29867,TRUE,52.90957363526984,6925
37127,25555,TRUE,67.16196472850777,51341
37153,20862,TRUE,36.82310008986828,4005
37159,25528,TRUE,105.40591158543226,20693
37183,37825,TRUE,483.7994509906785,239365
37195,24299,TRUE,85.29656615914172,54110
38017,33406,TRUE,38.10887573665375,18695
38035,28550,TRUE,18.923731338293795,13346
38061,34332,FALSE,2.147435108170999,4297
38069,26187,TRUE,1.5958076252073203,4102
38071,29917,TRUE,3.7596739139204165,4217
38101,35354,TRUE,13.239185049558172,29854
38105,43776,TRUE,6.33051746429986,29013
39035,27913,TRUE,1058.8319731183492,48964
39043,29283,TRUE,115.32204752324638,9138
39061,30663,TRUE,772.4102089789965,8482
39093,28956,TRUE,241.13667542294024,7275
39095,26631,TRUE,489.775464400884,51400
39151,27088,TRUE,250.66379511341745,4501
39171,27165,FALSE,33.87705421407372,5218
40019,26229,FALSE,22.731962107529487,6918
40027,30637,TRUE,198.31826529547885,12469
40049,26201,FALSE,13.392651433722541,4065
40087,31831,FALSE,26.137436965150247,1635
40109,28956,TRUE,425.9926103327144,45250
41005,36229,TRUE,83.76932614058803,11382
41035,23291,TRUE,4.309411364565031,45452
41039,25018,TRUE,31.28100392690697,89279
41043,26723,TRUE,20.715151297589575,30782
41047,26746,TRUE,109.57871538000798,55448
41051,31703,TRUE,714.9581231255454,576339
42003,31816,TRUE,648.1417303199454,138686
42013,25892,TRUE,90.93891066509613,22400
42017,39030,TRUE,400.1984023655792,3673
42021,25198,TRUE,75.47032818252859,19621
42029,41522,TRUE,266.0533054431832,520208
42043,32134,TRUE,201.8693763878051,580664
42049,25792,TRUE,133.33272232406608,14974
42051,24286,TRUE,64.62678395728953,5014
42061,24013,FALSE,20.050717663704027,5766
42071,30615,TRUE,220.23172316638522,713751
42087,24715,TRUE,43.55016193263794,8676
42091,41205,TRUE,656.4804041685229,63923
42101,25340,TRUE,4536.211213340839,4473998
42129,30241,TRUE,133.29720465100732,16711
