NCESSCH,SCHNAM04,FRELCH04,REDLCH04,TOTFRL04,MEMBER04,ASIAN04,HISP04,BLACK04,WHITE04,PUPTCH04,SCHNAM06,FRELCH06,REDLCH06,TOTFRL06,MEMBER06,ASIAN06,HISP06,BLACK06,WHITE06,PUPTCH06
220096000734,LASALLE HIGH SCHOOL,103,30,133,241,2,1,16,221,13.8,LASALLE HIGH SCHOOL,108,25,133,238,0,3,15,219,14.8
220096000735,NEBO ELEMENTARY SCHOOL,66,16,82,184,0,0,0,184,15.2,NEBO ELEMENTARY SCHOOL,70,20,90,168,0,0,0,168,13.4
220096000736,OLLA-STANDARD ELEMENTARY SCHOOL,204,60,264,392,0,2,12,377,15.7,OLLA-STANDARD ELEMENTARY SCHOOL,196,50,246,417,0,2,13,401,16.5
220096000738,LASALLE JUNIOR HIGH SCHOOL,90,34,124,199,0,3,8,188,14.4,LASALLE JUNIOR HIGH SCHOOL,105,14,119,183,0,5,6,171,14.5
220099000740,A. J. BROWN ELEMENTARY SCHOOL,159,29,188,222,0,0,222,0,15.3,A. J. BROWN ELEMENTARY SCHOOL,151,41,192,245,0,0,245,0,16.6
220099000741,GRAMBLING STATE UNIV. LABORATORY HIGH SCHOOL,67,14,81,160,0,0,160,0,10.2,GRAMBLING STATE UNIV. LABORATORY HIGH SCHOOL,87,17,104,170,0,0,170,0,12
220099000742,CHOUDRANT HIGH SCHOOL,87,26,113,355,1,0,36,318,12.9,CHOUDRANT HIGH SCHOOL,82,27,109,377,0,0,42,335,14
220099000743,CYPRESS SPRINGS ELEMENTARY SCHOOL,336,28,364,421,7,2,357,55,13.9,CYPRESS SPRINGS ELEMENTARY SCHOOL,341,23,364,396,9,1,339,47,14.1
220099000744,DUBACH HIGH SCHOOL,79,17,96,143,0,3,61,79,8.8,DUBACH HIGH SCHOOL,78,23,101,145,1,2,61,81,9.4
220099000745,GLEN VIEW ELEMENTARY SCHOOL,309,30,339,538,2,7,245,284,15.1,GLEN VIEW ELEMENTARY SCHOOL,342,36,378,581,4,13,279,285,16.6
220099000746,HICO ELEMENTARY SCHOOL,193,30,223,264,1,15,98,150,13.2,HICO ELEMENTARY SCHOOL,192,26,218,274,1,18,99,156,14.3
220099000747,HILLCREST ELEMENTARY SCHOOL,114,25,139,440,6,2,115,315,16.6,HILLCREST ELEMENTARY SCHOOL,150,17,167,446,3,1,120,321,17
220099000748,I.A. LEWIS ELEMENTARY SCHOOL,188,24,212,285,4,4,180,96,15,I.A. LEWIS ELEMENTARY SCHOOL,181,22,203,291,2,4,184,101,14.700000000000001
220099000749,LINCOLN CENTER,100,15,115,150,2,0,102,45,9.6,LINCOLN CENTER,71,12,83,134,1,3,76,54,8.3
220099000750,A. E. PHILLIPS LABORATORY SCHOOL,0,0,0,267,2,7,26,232,17.2,A. E. PHILLIPS LABORATORY SCHOOL,-2,-1,-1,263,1,5,29,228,18.1
220099000751,RUSTON ELEMENTARY SCHOOL,398,20,418,456,1,4,411,40,14.5,RUSTON ELEMENTARY SCHOOL,370,18,388,418,2,8,375,33,13.6
